edge_id,segment_id,current_speed,freeflow_speed,timestamp,match_confidence
7494237#0,Traffic flow_42bc56dd9b811c9a29f583e03ccaad77c70c9857,20.0,0.0,2026-03-05 08:55:00,1.0
7494237#0,Traffic flow_b027427beef2bff69a27513f85c388b4537e1678,35.0,0.0,2026-03-05 08:55:00,1.0
-7494270#1,Traffic flow_7c4fc7f1808f7122014ac3c862717267194ecdbb,10.0,0.0,2026-03-05 08:55:00,0.9840691139729766
694343568#0,Traffic flow_bae331d3eb709e18d1be8aab687de120d5102b0f,15.0,0.0,2026-03-05 08:55:00,1.0
7494586,Traffic flow_667ef9db0563abcef5534af9e5a8f35fc1ae3617,20.0,0.0,2026-03-05 08:55:00,1.0
694343569#0,Traffic flow_26f9fabd335a0065bffa668550289c59950f90ec,20.0,0.0,2026-03-05 08:55:00,0.9658235250048366
7494586,Traffic flow_43a958c73f68b6bbc93220e1239d453ba406b5de,25.0,0.0,2026-03-05 08:55:00,1.0
7494605#8,Traffic flow_e43c5069303522034bbd22877c0db1f0b965012d,30.0,0.0,2026-03-05 08:55:00,1.0
666126069#0,Traffic flow_858f61861c159b0165f885bbe49a2517e3afb2a3,30.0,0.0,2026-03-05 08:55:00,1.0
7494723#4,Traffic flow_e92c3e00de0ba3689013b5dbc42f5c055587e92b,5.0,0.0,2026-03-05 08:55:00,0.9971647878763885
7494576#0,Traffic flow_90c79d967a8046a9ddbc796cde2bfab002e31fd7,5.0,0.0,2026-03-05 08:55:00,0.7683592838662456
7494390#0,Traffic flow_1616c20209e3a442f23d34533981c147e75f3fe5,10.0,0.0,2026-03-05 08:55:00,1.0
7494410,Traffic flow_ab0e44a96e27fa5ce117f810732c0d712f02ad49,15.0,0.0,2026-03-05 08:55:00,1.0
7494390#0,Traffic flow_174747fb7dcddf6a09063ccbb9663f4fab176649,25.0,0.0,2026-03-05 08:55:00,1.0
7494554,Traffic flow_a376bc6aa50453d9c3c48402fe8ef9f36deaf805,35.0,0.0,2026-03-05 08:55:00,1.0
152401266#0,Traffic flow_b05f5d12fb99a9b14ea5d8e841fa67f95e7ba68e,10.0,0.0,2026-03-05 08:55:00,1.0
140460766#0,Traffic flow_6cc6c4fd2ea61e70bd4f72412ec43843b2e73c4c,10.0,0.0,2026-03-05 08:55:00,1.0
152401266#0,Traffic flow_4792c1b7005d20c0578f30fe4a6bfb8bf0bfc084,15.0,0.0,2026-03-05 08:55:00,1.0
7494426,Traffic flow_9601d457fd5f547951ac76c0a0af50de3b639d4d,30.0,0.0,2026-03-05 08:55:00,1.0
1346487524#1,Traffic flow_711a133a9699dd4eba85cb5527670bcf763d7f90,30.0,0.0,2026-03-05 08:55:00,1.0
140460766#0,Traffic flow_b095d691be55a7f8263e8f68be68bababefedada,35.0,0.0,2026-03-05 08:55:00,1.0
7494237#0,Traffic flow_f26cfbb3a207238153f7eff177b2d9156a4a7fce,20.0,0.0,2026-03-05 08:55:00,1.0
208996174#2,Traffic flow_621dfab2e8676525a58757ae879218d389895628,20.0,0.0,2026-03-05 08:55:00,0.9198534694727434
-737034292,Traffic flow_5cd7894067bf784163c9ee27cc143757112938bd,30.0,0.0,2026-03-05 08:55:00,0.7687401245911513
7494237#0,Traffic flow_473a9f0693143f60f384f2d8cfae4707b5dd1077,35.0,0.0,2026-03-05 08:55:00,1.0
208996174#2,Traffic flow_6ff4cfb1ff83d54e7edd5198991066c370c292e1,35.0,0.0,2026-03-05 08:55:00,1.0
-737034292,Traffic flow_e9af3b190742c5559463a0f42ae84f0b69ad64cf,40.0,0.0,2026-03-05 08:55:00,1.0
-737034292,Traffic flow_d22c548fc24dab87a1d689137bc5a837eef9ce16,45.0,0.0,2026-03-05 08:55:00,1.0
7493715#0,Traffic flow_e17cc1926f2c8be9394ae0038a79cfb0d9521ac3,10.0,0.0,2026-03-05 08:55:00,1.0
190391008#4,Traffic flow_b05d32c245acd0e6f6888e47bf9b639dc4aa1225,15.0,0.0,2026-03-05 08:55:00,0.9327861015911425
-7494260#1,Traffic flow_6d07111e78c67ae3178c602312bfc29326585f19,15.0,0.0,2026-03-05 08:55:00,1.0
100876542#3,Traffic flow_a4880c64972b735f94666970c60229ff75d23234,20.0,0.0,2026-03-05 08:55:00,1.0
-694349943,Traffic flow_c27042ff48de390548e3941450653fcee46aab23,20.0,0.0,2026-03-05 08:55:00,1.0
7493492,Traffic flow_f126e39aa1a9777aa3b41c0d680ae2f1f2489a50,20.0,0.0,2026-03-05 08:55:00,1.0
7493940#1,Traffic flow_f002f0bfd9499cb4c7474e50045d874ef830ac7a,20.0,0.0,2026-03-05 08:55:00,1.0
190391008#4,Traffic flow_1168a9a24d1e80509a995f6ec7d9746813902519,25.0,0.0,2026-03-05 08:55:00,1.0
201007838#0,Traffic flow_b65b8aad4e723ec330744f8ba7e1610fa13ed9ca,30.0,0.0,2026-03-05 08:55:00,1.0
7493659,Traffic flow_be1d44e997e98b65f8c4c058b26525993742ac8e,30.0,0.0,2026-03-05 08:55:00,1.0
-7494084#0,Traffic flow_ffcbd1048026663dfa8fcda0edd9ddd61a7e9386,30.0,0.0,2026-03-05 08:55:00,1.0
7493715#0,Traffic flow_ce75de403fd0b75d942270c4e6bdd97953bdae67,35.0,0.0,2026-03-05 08:55:00,1.0
211379459,Traffic flow_88503d702d9f2c2e4dde0f599531fa1050f476dd,35.0,0.0,2026-03-05 08:55:00,1.0
677419228,Traffic flow_66fb09a18b11d1b98a038b125eb3baed7c2f1735,15.0,0.0,2026-03-05 08:55:00,1.0
211521687#1,Traffic flow_298c497140a6a05c66c50861a060e0d8a93c96f2,15.0,0.0,2026-03-05 08:55:00,1.0
7493696,Traffic flow_6aa704a6641eb34eaa2caff87b73d28eeb0bb6b2,15.0,0.0,2026-03-05 08:55:00,1.0
7494410,Traffic flow_9877f71eea8499f84282a2e0ded57e23ae1df3b2,15.0,0.0,2026-03-05 08:55:00,1.0
-7493417,Traffic flow_8c83714d3aeab85b50425bc40cd3590253550f60,15.0,0.0,2026-03-05 08:55:00,1.0
101052261,Traffic flow_ddf53dc6f0d618868c2a416a57b66df6eaa6da13,20.0,0.0,2026-03-05 08:55:00,1.0
459328811#0,Traffic flow_bb8296939d96d51bceca4486a56c1d74a45ff9c4,20.0,0.0,2026-03-05 08:55:00,1.0
694373308#3,Traffic flow_c1c1b6d0762383d8583a436f0bc19fb1ef892e27,20.0,0.0,2026-03-05 08:55:00,1.0
144869532,Traffic flow_a438022c9357488ef8c084a69eb10591128109ac,25.0,0.0,2026-03-05 08:55:00,1.0
459328811#0,Traffic flow_1238d23bf31fa34a531ab2acfe05c61023c2248b,25.0,0.0,2026-03-05 08:55:00,1.0
7494552,Traffic flow_ad9e30112c3504c5d6f0fa935de9acd733623d88,25.0,0.0,2026-03-05 08:55:00,1.0
101244920#0,Traffic flow_eea2118d76725e2b1fd2aa64935d36350a32fd11,30.0,0.0,2026-03-05 08:55:00,1.0
7493559#0,Traffic flow_e0cf6b9ca2af05e802cad8c284111aa365b78273,30.0,0.0,2026-03-05 08:55:00,0.8465171527992403
7493696,Traffic flow_32732130ced4297b6bfa1aa46de77e69d52a69da,35.0,0.0,2026-03-05 08:55:00,1.0
7494552,Traffic flow_df1f868940c5377cca34d5fe87f51bfc53f6b22e,35.0,0.0,2026-03-05 08:55:00,1.0
-130801720#1,Traffic flow_15a5b0bd04d16a579ef8cbc1ff987625f9b9d5b9,45.0,0.0,2026-03-05 08:55:00,1.0
140460766#0,Traffic flow_61c22a64cbca3e67ce88a706d7a9068cff2d1c38,10.0,0.0,2026-03-05 08:55:00,1.0
7489340,Traffic flow_950b21580e70cd572e7d7be7db3d7d5def87ac65,15.0,0.0,2026-03-05 08:55:00,1.0
7489340,Traffic flow_32188dae3f260f5228f08f1b8dc9ff2d7872209e,20.0,0.0,2026-03-05 08:55:00,1.0
694373308#3,Traffic flow_a1ad462b45593ce4dad25721221e48675de5234b,20.0,0.0,2026-03-05 08:55:00,1.0
140460766#0,Traffic flow_5aa84a7d131b5c56ebf7d487d792d9bfa47e1dd8,20.0,0.0,2026-03-05 08:55:00,1.0
101244920#5,Traffic flow_0757f25f739fbf25c7ea27686a8e862fc88d9d33,25.0,0.0,2026-03-05 08:55:00,1.0
7489075,Traffic flow_8a1c56f0f16d2b229fe8341562a06951ab1461fc,25.0,0.0,2026-03-05 08:55:00,1.0
143820023#0,Traffic flow_c48e3d65c6eeb07f7af6759a180cb84e2e5fb873,30.0,0.0,2026-03-05 08:55:00,1.0
7493528#0,Traffic flow_47fc098685dea592b32ebb264b0b85a003e483a0,30.0,0.0,2026-03-05 08:55:00,0.8124809788672585
-7493528#0,Traffic flow_1b314660da57512c4cd8bbcd64fb0d9bd8d5a0b7,30.0,0.0,2026-03-05 08:55:00,1.0
7494415,Traffic flow_8005b232895df1077ea8667c04686a674dec3009,35.0,0.0,2026-03-05 08:55:00,1.0
140460766#0,Traffic flow_5e114c145d47b08988019e1d1981ba1d1b0811e4,35.0,0.0,2026-03-05 08:55:00,1.0
-7477136#1,Traffic flow_04830174ba6cca0b922fc629bdbe702676276634,20.0,0.0,2026-03-05 08:55:00,0.5501952112977109
7477455#0,Traffic flow_1da1eaf7daa4b38ff8b04bc6865ef5ebf4e76565,20.0,0.0,2026-03-05 08:55:00,1.0
-7477136#1,Traffic flow_c127fd791059f86e38f88817ba360454aa7f001e,25.0,0.0,2026-03-05 08:55:00,0.47973291402879226
129481453#0,Traffic flow_0506e1f6900599d1d5fed5698c0f8245e8368811,25.0,0.0,2026-03-05 08:55:00,1.0
7477455#0,Traffic flow_b9fa633405d81400660d3921123ab06cce9f4a2e,35.0,0.0,2026-03-05 08:55:00,1.0
7477448#2,Traffic flow_f2e121991aa644927ba4e06268b81587ca445cce,5.0,0.0,2026-03-05 08:55:00,0.6915520734487033
7477448#2,Traffic flow_d3de59ae6d64a93ba45a51dc15d349f084751e54,5.0,0.0,2026-03-05 08:55:00,0.7917537330653103
7476974#0,Traffic flow_eea6a47f8fcfb93e2cbbbc6bd865d94fa898e579,5.0,0.0,2026-03-05 08:55:00,1.0
7477448#2,Traffic flow_61fc11a44a9ac9f743d9385b7b25eb838fe3ad04,10.0,0.0,2026-03-05 08:55:00,0.7988013390152063
