edge_id,segment_id,current_speed,freeflow_speed,timestamp,match_confidence
-274650361#3,Traffic flow_dcd78428345a71abeb18e5de48ad49e634906e3b,15.0,0.0,2026-03-05 09:00:00,1.0
-213118384#1,Traffic flow_6b96695da615a21edc725158d6124084d272f3e7,20.0,0.0,2026-03-05 09:00:00,1.0
213118177#1,Traffic flow_2c7e01b018ae9afef1b5eef2df5329dba7f92f08,20.0,0.0,2026-03-05 09:00:00,1.0
-137946600#1,Traffic flow_29de763ad8ecb4617f0ca307beb7ed42b63e73ad,25.0,0.0,2026-03-05 09:00:00,1.0
213118440#6,Traffic flow_1a5cd4aeabf140636226e7c09fa5555027a3b366,25.0,0.0,2026-03-05 09:00:00,1.0
-137945395#5,Traffic flow_92c39b3fe0bd202c2a43b06506288ac092c0943d,25.0,0.0,2026-03-05 09:00:00,1.0
-137946597#0,Traffic flow_d7361e645eea36da7d2b3931ef211b3ca54ed210,25.0,0.0,2026-03-05 09:00:00,1.0
213118440#6,Traffic flow_5434954c78fe0a0d4d3746d6ba8058171e75b404,35.0,0.0,2026-03-05 09:00:00,1.0
-137945388#1,Traffic flow_5dbdb7df848319fdc4b3e6f2bff9c24930874473,35.0,0.0,2026-03-05 09:00:00,1.0
-213118384#1,Traffic flow_71f1fc3bd5f3be61e7e98736b41135869cdf1ad5,35.0,0.0,2026-03-05 09:00:00,1.0
-137945408#2,Traffic flow_8c03a11f966bcfa29db94918e6d189b798bc49d4,40.0,0.0,2026-03-05 09:00:00,1.0
-212706390#0,Traffic flow_30a31f39e2dcd7fd002ce70744598ff86b29fda6,10.0,0.0,2026-03-05 09:00:00,1.0
137954632#4,Traffic flow_b296124259d9375e5ba00795aa393c33ebaf1a66,15.0,0.0,2026-03-05 09:00:00,1.0
137945388#0,Traffic flow_73e326c32f39e070dc250bca59c8beed0ea251e2,15.0,0.0,2026-03-05 09:00:00,1.0
137945388#0,Traffic flow_35fa8d907af0fef523c4ded725df2d5998f683c8,20.0,0.0,2026-03-05 09:00:00,1.0
372823946#4,Traffic flow_7fe1ae09277683b6d0871cb03d3dfc274e14a3fa,20.0,0.0,2026-03-05 09:00:00,0.988925694763452
-364186014#2,Traffic flow_3b1a76bfecfada0e1d4e32898ecaa4b93b8c3d67,20.0,0.0,2026-03-05 09:00:00,0.9470975993283781
