segment_id,geometry,current_speed,freeflow_speed,timestamp,quality
Traffic flow_ce42030ebba8a3f91285b6d4f5586332a5635428,"[(20.02185344696045, 50.085729906319564), (20.0216281414032, 50.085285882542195), (20.021325051784515, 50.084638770756975)]",5.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_1c0352771cd48920a9be1d7ecced87363e223bd2,"[(20.02179980278015, 50.08654910218351), (20.021756887435913, 50.0865663120305), (20.021730065345764, 50.086614499569166), (20.021676421165466, 50.086669570982615), (20.02160131931305, 50.0867315262471), (20.02136528491974, 50.08691050767243)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_ad8c4403d075f3a722ae4359fff1757f990f2c67,"[(20.017266869544983, 50.086452726926225), (20.017390251159668, 50.086494030631656), (20.017540454864502, 50.086531892330356), (20.0182968378067, 50.086666129021125), (20.019503831863403, 50.08686576237875), (20.020399689674377, 50.08703097556314), (20.02110242843628, 50.08720995587023)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_fc65cb2d61cec4a6b8b7d7b01c8fedfed9c2b771,"[(20.021418929100037, 50.08784326543631), (20.021504759788513, 50.087788195371466), (20.02154767513275, 50.087733125243346), (20.021638870239258, 50.087592007751205), (20.021719336509705, 50.08744056412669), (20.021762251853943, 50.08739926123695), (20.0218266248703, 50.08736484213498)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_a2e1186a2df7cf473d1730976b7896a7f65f5817,"[(20.021268725395203, 50.086938043217), (20.021215081214905, 50.08696902068573), (20.021172165870667, 50.086999998134445), (20.021129250526428, 50.0870447433028), (20.02110779285431, 50.08708260456647), (20.02109169960022, 50.087172094707164), (20.02110242843628, 50.08720995587023), (20.021145343780518, 50.08726502659948), (20.021177530288696, 50.087285678106646), (20.02130091190338, 50.08733042300829), (20.021424293518066, 50.087357958311614), (20.02158522605896, 50.087368284046285), (20.021697878837585, 50.08734419066193)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_549892fb1242870d76b76095e92adf96ddf39478,"[(20.021697878837585, 50.08734419066193), (20.0218266248703, 50.08736484213498), (20.022175312042236, 50.08737860977874), (20.02259373664856, 50.08740614505438), (20.022647380828857, 50.08739237741854)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_bfb64ab4b8118a39c50f21da7c0245af4de875fb,"[(20.022647380828857, 50.08739237741854), (20.02306044101715, 50.08746121555821), (20.023500323295593, 50.08756103068512), (20.02409040927887, 50.087660845604155), (20.02461612224579, 50.08776066031531)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_72f2bf491597072e83ad8d75e906a35416819f83,"[(20.021145343780518, 50.08726502659948), (20.021161437034607, 50.087371725957354), (20.021188259124756, 50.087450889843566), (20.021204352378845, 50.087567914479315), (20.021220445632935, 50.08764363615019), (20.021225810050964, 50.08771247392898), (20.021209716796875, 50.08784326543631), (20.0211238861084, 50.0880807543661), (20.020684003829956, 50.089192462258836), (20.02058207988739, 50.089467803882485), (20.020169019699097, 50.09023875201293), (20.0198096036911, 50.09104754587272), (20.01955211162567, 50.09171866232987), (20.019401907920837, 50.09213509397017), (20.01937508583069, 50.092162626513066), (20.01933217048645, 50.09219704216944), (20.019198060035706, 50.092276198085294), (20.01906931400299, 50.09233814610215)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_78c120c674444f9056cd258e2e77577a654e5dc9,"[(20.02235770225525, 50.08729256194039), (20.0223308801651, 50.087244375083436), (20.022277235984802, 50.08720995587023), (20.022148489952087, 50.087148001224186), (20.02205729484558, 50.08710669808233), (20.021955370903015, 50.0870447433028), (20.021789073944092, 50.086924275446684), (20.02181053161621, 50.08660761563804), (20.02181589603424, 50.086580079903634), (20.02179980278015, 50.08654910218351)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_c9ae680ae00262ad2ded643ebe5d61e0c6ad532e,"[(20.021697878837585, 50.08734419066193), (20.021756887435913, 50.087313213435685), (20.02179443836212, 50.087285678106646), (20.02183735370636, 50.087227165479916), (20.02185344696045, 50.08714455929705), (20.02185344696045, 50.08711014001217), (20.02184271812439, 50.087079162634645)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_dc80efb749e44e683669a1454e6e21db58f25105,"[(20.02183735370636, 50.0864802627338), (20.02179443836212, 50.086497472605494), (20.021762251853943, 50.08651468247101), (20.021649599075317, 50.08661105760373), (20.02155840396881, 50.08667989686559), (20.021381378173828, 50.086807249239385), (20.02130627632141, 50.086851994587676), (20.021257996559143, 50.08687264627281), (20.02109706401825, 50.08691739156004)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_713d6be235a04f292a8fb4ff5833bb2fb284852a,"[(20.02184271812439, 50.087079162634645), (20.02181589603424, 50.08704130136825), (20.021783709526062, 50.08701720781952), (20.021708607673645, 50.086979346504194), (20.021649599075317, 50.08695525292432), (20.02157986164093, 50.08693460127479), (20.021440386772156, 50.08691050767243), (20.02136528491974, 50.08691050767243), (20.02131700515747, 50.0869208335035), (20.021268725395203, 50.086938043217)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_cd42a9da1e211df60ace1921052290972e81b4f2,"[(20.022647380828857, 50.08739237741854), (20.02261519432068, 50.08736484213498), (20.02235770225525, 50.08729256194039), (20.022212862968445, 50.087244375083436), (20.02206802368164, 50.087182420481874), (20.02184271812439, 50.087079162634645)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_31dafa2dc686631a6072969cf736b2b024e35001,"[(20.028880834579468, 50.09306430855046), (20.028768181800842, 50.0929507388461), (20.02856433391571, 50.09257561275822), (20.028435587882996, 50.09219704216944), (20.028392672538757, 50.09197678154155), (20.02786695957184, 50.09037297832159), (20.027523636817932, 50.08940929391982), (20.027250051498413, 50.08897907141245), (20.027169585227966, 50.08888270104134), (20.026874542236328, 50.08861768152162), (20.02683162689209, 50.088583263294645), (20.026772618293762, 50.08854884504297), (20.02656877040863, 50.088421497296814), (20.02630054950714, 50.08825973075297), (20.026171803474426, 50.08819777746392), (20.026010870933533, 50.08812549852548), (20.025452971458435, 50.08792587041493), (20.02461075782776, 50.08776066031531), (20.02409040927887, 50.087660845604155), (20.023500323295593, 50.08756103068512), (20.02306044101715, 50.08746121555821), (20.022647380828857, 50.08739237741854)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_50e6c1164858f4e2a3cacaed452534dd17ae819f,"[(20.02803325653076, 50.084638770756975), (20.027979612350464, 50.084890043923885), (20.027952790260315, 50.084945117318725), (20.027899146080017, 50.0850105168929), (20.02728760242462, 50.08551305801194), (20.027260780334473, 50.08555436252713), (20.027239322662354, 50.08564041348611), (20.027233958244324, 50.085726464290595), (20.027974247932434, 50.08719963010145), (20.028135180473328, 50.087567914479315), (20.028440952301025, 50.08822875411846), (20.029175877571106, 50.09013550075045)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_5e68a11dfd5eab7f8db0c9f3b7d824b586a88a59,"[(20.021268725395203, 50.086938043217), (20.020726919174194, 50.08687953016587), (20.01958429813385, 50.086710874501165), (20.01835584640503, 50.08651812444339), (20.017722845077515, 50.086407981205184), (20.017438530921936, 50.08630816367694), (20.01655876636505, 50.08578497874941), (20.015995502471924, 50.08539602835896), (20.015990138053894, 50.08539258630602)]",40.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_a5049b0dbf3d0f2bb1461257e48e9bf2796a0b2a,"[(20.021880269050598, 50.07920681784224), (20.02129554748535, 50.078804043971175), (20.02083420753479, 50.07850798580566), (20.020458698272705, 50.078280777136385), (20.020131468772888, 50.078050124810176), (20.020040273666382, 50.07786422511282), (20.020128786563873, 50.07758881682882)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_6dce7d70c656f76eb8bd168029d525b1c24029e1,"[(20.018468499183655, 50.07823258121964), (20.01832902431488, 50.078280777136385), (20.018286108970642, 50.07830143251446), (20.018237829208374, 50.0783289730047), (20.018211007118225, 50.078349628362), (20.018173456192017, 50.0784047092713), (20.018157362937927, 50.07847011776889), (20.018157362937927, 50.07852519853976), (20.018184185028076, 50.07861126211755), (20.018227100372314, 50.07866978526219), (20.018275380134583, 50.07871453820697)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_031b8bd781047e4ca11bc8a80bf0f8f061403f26,"[(20.025662183761597, 50.082852283830064), (20.02557635307312, 50.082900475102655), (20.025399327278137, 50.08299341527727), (20.024760961532593, 50.08250117452455), (20.02460539340973, 50.082387579786875), (20.02436935901642, 50.0821948123433), (20.023908019065857, 50.08183681360581), (20.0235378742218, 50.081554543485446), (20.02304971218109, 50.081193097611894), (20.022974610328674, 50.08115523169601), (20.022915601730347, 50.08113113518851), (20.02284049987793, 50.0811070386689), (20.022684931755066, 50.08104507613427), (20.02262592315674, 50.08101753720428), (20.02236843109131, 50.08081443710708), (20.022486448287964, 50.08074903180787), (20.022717118263245, 50.080611336149424)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_9a7f07a3575cbd51a2ae01efd836fc00b115a1f4,"[(20.027689933776855, 50.08361645401704), (20.027523636817932, 50.08361645401704), (20.027148127555847, 50.083640549275266), (20.02703547477722, 50.08366808669841), (20.026976466178894, 50.083688739755395), (20.026922821998596, 50.08371283497728), (20.026879906654358, 50.08373693018706), (20.02684772014618, 50.083764467554836), (20.026815533638, 50.083809215743734), (20.026740431785583, 50.0839709973089), (20.026729702949524, 50.0840329560616), (20.026729702949524, 50.08412589404048), (20.026756525039673, 50.08422915825012), (20.02678871154785, 50.084280790271514), (20.02681016921997, 50.0843048851958), (20.02683699131012, 50.08432553797841), (20.026874542236328, 50.084346190752115), (20.026928186416626, 50.08436684351692), (20.026987195014954, 50.08438405414746), (20.02709448337555, 50.084397822647446), (20.027223229408264, 50.08440126477183), (20.02729833126068, 50.084397822647446), (20.027507543563843, 50.08436340139007), (20.027641654014587, 50.08433586436637), (20.027695298194885, 50.084318653718526), (20.02780258655548, 50.08425669533513), (20.02784013748169, 50.08422571611339), (20.027872323989868, 50.08418096831331), (20.027920603752136, 50.084091472587836)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_10c76bc89521c3f806a4da123d0eafc9626264be,"[(20.027920603752136, 50.084091472587836), (20.028011798858643, 50.08395378653005), (20.02808153629303, 50.08388494335285), (20.028199553489685, 50.0838023314097), (20.02832293510437, 50.083747256701834), (20.028934478759766, 50.0835097462993), (20.029175877571106, 50.08339615395164)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_ca8e3e01d7ac2fda6f4c062c5ff7b2a6c80337bc,"[(20.029175877571106, 50.07918444160484), (20.028880834579468, 50.078965842428566)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_bdcf83ec572dc0d6ba754e74275ab85b6c37d244,"[(20.022717118263245, 50.080611336149424), (20.022486448287964, 50.08074903180787), (20.02236843109131, 50.08081443710708), (20.02262592315674, 50.08101753720428), (20.022749304771423, 50.08107261504843), (20.02284049987793, 50.0811070386689), (20.022915601730347, 50.08113113518851), (20.022974610328674, 50.08115523169601), (20.02304971218109, 50.081193097611894), (20.0235378742218, 50.081554543485446), (20.023908019065857, 50.08183681360581), (20.02436935901642, 50.0821948123433), (20.02460539340973, 50.082387579786875), (20.024760961532593, 50.08250117452455), (20.025399327278137, 50.08299341527727), (20.02557635307312, 50.082900475102655), (20.025662183761597, 50.082852283830064)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_bb4aef935b82ec70fcaf8df81b2a0a6656772863,"[(20.01982033252716, 50.07914141034973), (20.020147562026978, 50.079217145332905), (20.020265579223633, 50.07924812779154), (20.0203675031662, 50.07926878275284), (20.020635724067688, 50.07933763255957), (20.02082347869873, 50.07939959730109), (20.021032691001892, 50.07947877435426), (20.02132773399353, 50.07961647326571), (20.021440386772156, 50.079674995183304), (20.021719336509705, 50.07985056050749), (20.022143125534058, 50.080160380099386), (20.022529363632202, 50.08047019768906), (20.022717118263245, 50.080611336149424), (20.023232102394104, 50.08100376773336), (20.02332329750061, 50.08106917268502), (20.025265216827393, 50.08255280840724), (20.025662183761597, 50.082852283830064), (20.026010870933533, 50.08312421966219), (20.02603769302368, 50.08314143073889), (20.026686787605286, 50.083640549275266), (20.026745796203613, 50.083699066280545), (20.026777982711792, 50.08373693018706), (20.026815533638, 50.083809215743734)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_b0f1eccfa40ced1fde15f17ae3489515fdf54081,"[(20.01956284046173, 50.07758881682882), (20.01955211162567, 50.07761980033974), (20.019401907920837, 50.07803635448694), (20.01937508583069, 50.07806733770866), (20.01933217048645, 50.078101763487076), (20.019198060035706, 50.07818094268364), (20.01906931400299, 50.07824290892017)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_04c2494fce9e368915204de2b7334c961e01588a,"[(20.015990138053894, 50.081616505361566), (20.0160813331604, 50.0815029085275), (20.01636564731598, 50.081230963497866), (20.017025470733643, 50.08071116554122), (20.017449259757996, 50.08039446468538), (20.01761555671692, 50.08027398011475), (20.017696022987366, 50.08020857407817), (20.018270015716553, 50.07971974718974), (20.01888155937195, 50.07922747282134), (20.018956661224365, 50.07917583535691), (20.0191068649292, 50.07910354281327), (20.019208788871765, 50.0790656752469), (20.01935362815857, 50.07902780765063)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_ef43a5a33f2d6af646376cec6395c9b9a69858f7,"[(20.023446679115295, 50.080869515184574), (20.023886561393738, 50.08064920249492), (20.02429962158203, 50.080404791920195), (20.02481460571289, 50.080122513367776), (20.024927258491516, 50.080077761737314), (20.02504527568817, 50.080036452502895), (20.025168657302856, 50.080002028113675), (20.025447607040405, 50.07996071881399), (20.026450753211975, 50.07983679070138), (20.026874542236328, 50.079699092422736), (20.027014017105103, 50.079650897931764), (20.02753973007202, 50.07948221683187), (20.028135180473328, 50.07922058782929), (20.028666257858276, 50.07903469267036), (20.028880834579468, 50.078965842428566)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_80ff1c9cd3cd972eda07860df2198e2fe0d2009f,"[(20.018468499183655, 50.07823258121964), (20.017529726028442, 50.07823602378672), (20.017143487930298, 50.078208483243095), (20.01661241054535, 50.07814651696207), (20.01637637615204, 50.07810520606357), (20.015990138053894, 50.078043239649055)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_3fc14f60f527b23f2d0ea345509792d97f30fb1b,"[(20.01862406730652, 50.07882814164837), (20.018677711486816, 50.07892453223604), (20.018699169158936, 50.07897616997114), (20.018715262413025, 50.079069117754166), (20.018699169158936, 50.079165507857354), (20.018640160560608, 50.07922747282134), (20.01813054084778, 50.0796302431351), (20.017535090446472, 50.08011218607215), (20.017449259757996, 50.08017759224023), (20.016236901283264, 50.08115178933853), (20.015990138053894, 50.081377263230856)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_d8c1f1744784708cd74688aaf471b2ef291cbd1a,"[(20.028298795223236, 50.07758881682882), (20.028392672538757, 50.077877995485494), (20.028435587882996, 50.078101763487076), (20.02856433391571, 50.0784770028687), (20.028768181800842, 50.078852239313456), (20.028880834579468, 50.078965842428566)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_83033974fa160ebd9533ef6f18b6572fba13adc8,"[(20.028880834579468, 50.078965842428566), (20.028768181800842, 50.078852239313456), (20.02856433391571, 50.0784770028687), (20.028435587882996, 50.078101763487076), (20.028392672538757, 50.077877995485494), (20.028298795223236, 50.07758881682882)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_ce619807c9bdcee49a6ca9d04a10dd624feab182,"[(20.025469064712524, 50.08242200246308), (20.023720264434814, 50.08108638449958), (20.023446679115295, 50.080869515184574), (20.022899508476257, 50.080452985653274), (20.021939277648926, 50.07971630472919), (20.02181053161621, 50.07962335820089), (20.02159059047699, 50.07947533187641), (20.021472573280334, 50.07940303978438), (20.02059280872345, 50.0788901070484), (20.02057135105133, 50.078879779487295), (20.020244121551514, 50.078686997938206), (20.02009391784668, 50.078600934496365), (20.019911527633667, 50.078501100710284), (20.019755959510803, 50.07842536459596), (20.019686222076416, 50.07839438160562), (20.01960575580597, 50.07836339859525), (20.019412636756897, 50.0783083176385), (20.019187331199646, 50.07826012174944), (20.01906931400299, 50.07824290892017), (20.01886010169983, 50.07823258121964), (20.018468499183655, 50.07823258121964)]",40.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_35a6ec27c2ebeb6f672a29796e81cd975e518951,"[(20.026740431785583, 50.0839709973089), (20.02660095691681, 50.08418441045326), (20.026509761810303, 50.08433586436637), (20.026493668556213, 50.084349632880205), (20.02628982067108, 50.0845940233425), (20.026225447654724, 50.0846766339212), (20.025957226753235, 50.08486250720273), (20.025764107704163, 50.08500019065028), (20.024948716163635, 50.08543044887479), (20.02409040927887, 50.08590544946908), (20.02381682395935, 50.086050013933004)]",45.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_5147ed8f0d5f8a78be340fa78a5563a853527dd8,"[(20.020973682403564, 50.073488488904175), (20.020930767059326, 50.073578004424654), (20.020936131477356, 50.07366063398755)]",5.0,0.0,2026-03-05 09:00:00,0.9
