edge_id,segment_id,current_speed,freeflow_speed,timestamp,match_confidence
-4419824#0,Traffic flow_1ba31e4cdd0a79faf7e6d32f6f858ae59f05f3f5,20.0,0.0,2026-03-05 09:00:00,1.0
-4419824#0,Traffic flow_13988cc430ce2444341463da7d8f735e22b3a884,25.0,0.0,2026-03-05 09:00:00,1.0
-37684669#22,Traffic flow_68c85bfc25b127b38663342ed1c98bf6cdee9c27,20.0,0.0,2026-03-05 09:00:00,1.0
7990227#1,Traffic flow_4fca1f8df961cb0da798629f933835ca2a7384fa,20.0,0.0,2026-03-05 09:00:00,0.9773776543542516
-8095156,Traffic flow_af7a9fdfced868e0ac77c0da891eb08764a2df83,30.0,0.0,2026-03-05 09:00:00,1.0
-396323624#4,Traffic flow_b7e983b1b277ae97e76778926046eb3ab9b56ae3,30.0,0.0,2026-03-05 09:00:00,0.8871944961645507
-37684669#22,Traffic flow_37959ec3a0d96a914a1a09d339dbe0e81e60b89d,40.0,0.0,2026-03-05 09:00:00,1.0
-7839644#1,Traffic flow_2b332309613d1eb2d585f4e2a0c824f33d789a53,15.0,0.0,2026-03-05 09:00:00,0.8378344269219126
-7839644#1,Traffic flow_2a3e34f4a3711623872adf73cf87c6433a7afca1,20.0,0.0,2026-03-05 09:00:00,0.8474577128667525
-4824073#0,Traffic flow_736cc8d32ff5b63be0a99d1366f7f8353c99c069,20.0,0.0,2026-03-05 09:00:00,1.0
4371094#6,Traffic flow_daccbe652df52f547cebe92278ae3063cd99fdc8,20.0,0.0,2026-03-05 09:00:00,1.0
-4824073#0,Traffic flow_01ac31520bdbf98136d2921a26360438d3de71a3,25.0,0.0,2026-03-05 09:00:00,1.0
-31741302#3,Traffic flow_a6d8e41cddd52a4943da1d761e19182eb086ef4a,25.0,0.0,2026-03-05 09:00:00,1.0
-7839644#1,Traffic flow_cd23ea53516ef40dc88a12fdd5c482f422fe1037,30.0,0.0,2026-03-05 09:00:00,0.8474577128667525
-27257980#3,Traffic flow_314abdfc7c50a5ac5b14afcf64c87f18a03d5747,30.0,0.0,2026-03-05 09:00:00,1.0
-216966635#13,Traffic flow_f19497bd36dea54a5e04bc4201ee7601cb0f402a,35.0,0.0,2026-03-05 09:00:00,1.0
4371085#0,Traffic flow_561a2fcf1c14f8efe37ce845432c1fab4f054734,35.0,0.0,2026-03-05 09:00:00,1.0
-4371085#0,Traffic flow_444d3c588014ade7ce1e667b698db045b8b4720b,35.0,0.0,2026-03-05 09:00:00,0.9928988293175912
1028801058#0,Traffic flow_5139591b190b866a8446d95b20fd5ed5f4181994,40.0,0.0,2026-03-05 09:00:00,1.0
-396323624#4,Traffic flow_35c98dd03834d0cd00bc719c7c4c360246281a22,10.0,0.0,2026-03-05 09:00:00,1.0
-665345714#2,Traffic flow_0b9c0fbc79c20f0938abe0b70b6c55d75a892360,15.0,0.0,2026-03-05 09:00:00,1.0
194845704,Traffic flow_bf1885285c03d000bea54f67b553b2167ba9c49f,20.0,0.0,2026-03-05 09:00:00,1.0
-8095156,Traffic flow_11156a25e4278ee155906f41f9de95a7bbb1bdfb,20.0,0.0,2026-03-05 09:00:00,1.0
367210181#4,Traffic flow_b93c83a44183cc9d5fb5ce2ec4676e83b75e35eb,20.0,0.0,2026-03-05 09:00:00,1.0
6298392#0,Traffic flow_1fe24f6c832b54804095688b387c556dfdae3307,25.0,0.0,2026-03-05 09:00:00,1.0
-37684669#13,Traffic flow_5058b36920fee757b3fad198840683929406dfad,30.0,0.0,2026-03-05 09:00:00,1.0
-396323624#4,Traffic flow_4dd96770d5d6c3a1ae711e4f1facefb9998f0ead,30.0,0.0,2026-03-05 09:00:00,1.0
-37684669#13,Traffic flow_7d5deaeea2acd61c556a41705816e346062f37cf,35.0,0.0,2026-03-05 09:00:00,1.0
-78514691,Traffic flow_5ea81c9a5af265b2f3dfca68456e7ba19d64028f,40.0,0.0,2026-03-05 09:00:00,1.0
-78514691,Traffic flow_c917017622d5cab05b7be5d3c82fab0eabad369c,45.0,0.0,2026-03-05 09:00:00,1.0
6298392#0,Traffic flow_d9566ee9bbfe73e8c8439f6fd93f16b8a8d93bab,45.0,0.0,2026-03-05 09:00:00,1.0
367210181#4,Traffic flow_b726cd7f4df48b51f8afc12b2fecf1a2a80d25c3,5.0,0.0,2026-03-05 09:00:00,0.9810843803697065
534909104#0,Traffic flow_39ce36eb70d7769ffeab04c331af7ddab63fe6af,5.0,0.0,2026-03-05 09:00:00,1.0
534909104#0,Traffic flow_63d21804ca56d3cb26d6915b472d1bb60599872e,10.0,0.0,2026-03-05 09:00:00,1.0
34430472#0,Traffic flow_4306fb36893e84d99d144e0f2dcf8d7a0f457161,10.0,0.0,2026-03-05 09:00:00,1.0
27145207#1,Traffic flow_cd6d88c09194a195f331583c1c4c5742c7c6c4e2,15.0,0.0,2026-03-05 09:00:00,1.0
6184035#1,Traffic flow_ebe137555316be3b410b588bc3229fa09267b19b,15.0,0.0,2026-03-05 09:00:00,1.0
367210181#4,Traffic flow_6f09db74f29e13479c642290dd9da5bb4eee0c96,20.0,0.0,2026-03-05 09:00:00,1.0
172735099,Traffic flow_4207e6788df89305b91afa6fc2fbb7fb58abb86a,25.0,0.0,2026-03-05 09:00:00,1.0
5948186#0,Traffic flow_208d246687785eab94abb43c9719f757737f284a,30.0,0.0,2026-03-05 09:00:00,1.0
