segment_id,geometry,current_speed,freeflow_speed,timestamp,quality
Traffic flow_1ba31e4cdd0a79faf7e6d32f6f858ae59f05f3f5,"[(-1.5751111507415771, 53.81052496327365), (-1.5746068954467773, 53.81039192972386), (-1.5742743015289307, 53.810309575410024), (-1.5741080045700073, 53.810258895751865), (-1.5734052658081055, 53.81006567899301), (-1.5732496976852417, 53.810027669033985), (-1.572965383529663, 53.80998965904048), (-1.5723592042922974, 53.80995164901252), (-1.5719407796859741, 53.80994214650014), (-1.5717315673828125, 53.809948481508634), (-1.5716028213500977, 53.80994214650014), (-1.5712380409240723, 53.80996115152275)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_13988cc430ce2444341463da7d8f735e22b3a884,"[(-1.569945216178894, 53.81020188106319), (-1.5701007843017578, 53.810176541176666), (-1.5703314542770386, 53.8101353638284), (-1.5712541341781616, 53.80995798401958), (-1.5716028213500977, 53.80994214650014), (-1.5717315673828125, 53.809948481508634), (-1.5720319747924805, 53.80994214650014), (-1.5723592042922974, 53.80995164901252), (-1.572965383529663, 53.80998965904048), (-1.5732496976852417, 53.810027669033985), (-1.5734052658081055, 53.81006567899301), (-1.5741080045700073, 53.810258895751865), (-1.5742743015289307, 53.810309575410024), (-1.5746068954467773, 53.81039192972386), (-1.5751111507415771, 53.81052496327365)]",25.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_68c85bfc25b127b38663342ed1c98bf6cdee9c27,"[(-1.569945216178894, 53.80604593492911), (-1.5701168775558472, 53.80596673988217), (-1.5705138444900513, 53.80579567807026), (-1.570717692375183, 53.80569747560363), (-1.570996642112732, 53.805567594568664), (-1.5714526176452637, 53.805374356186626), (-1.5724074840545654, 53.80491501547421), (-1.5727615356445312, 53.8047534530618), (-1.5729492902755737, 53.80465841605779), (-1.573614478111267, 53.804360632050276), (-1.5739202499389648, 53.804214907190755), (-1.5741509199142456, 53.8041103651317), (-1.574639081954956, 53.80389811227053), (-1.5748751163482666, 53.80379990535925), (-1.5751969814300537, 53.803670018445864), (-1.575588583946228, 53.80350528324523), (-1.575990915298462, 53.80336905941735), (-1.5762698650360107, 53.80328035529149)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_4fca1f8df961cb0da798629f933835ca2a7384fa,"[(-1.5701544284820557, 53.80543771313133), (-1.5700042247772217, 53.805339509826226)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_af7a9fdfced868e0ac77c0da891eb08764a2df83,"[(-1.573818325996399, 53.80182621447557), (-1.5724074840545654, 53.80208283122517), (-1.571967601776123, 53.80220638687783), (-1.571345329284668, 53.80239013563666), (-1.571044921875, 53.802491513917516), (-1.5702778100967407, 53.802779807064134), (-1.569945216178894, 53.80291128075311)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_b7e983b1b277ae97e76778926046eb3ab9b56ae3,"[(-1.5702778100967407, 53.802779807064134), (-1.5701597929000854, 53.80272911830286), (-1.5699881315231323, 53.80268793363919), (-1.569945216178894, 53.802683181560006)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_37959ec3a0d96a914a1a09d339dbe0e81e60b89d,"[(-1.5754759311676025, 53.80335005140617), (-1.5752989053726196, 53.803419747405), (-1.5749931335449219, 53.80355597106821), (-1.574891209602356, 53.80360665882991), (-1.5746712684631348, 53.803704866193826), (-1.574338674545288, 53.80386643264687), (-1.5742582082748413, 53.8039107841133), (-1.573941707611084, 53.80405651002985), (-1.5734803676605225, 53.80428143381989), (-1.5730243921279907, 53.80449368474055), (-1.5728741884231567, 53.804572882570014), (-1.572466492652893, 53.80476929254152), (-1.5719568729400635, 53.80500688401929), (-1.5712970495224, 53.80527615273312), (-1.5710073709487915, 53.80538702758322), (-1.5708625316619873, 53.80543771313133), (-1.570696234703064, 53.805510573499376), (-1.5704494714736938, 53.805608776403794), (-1.5699559450149536, 53.805849530938175), (-1.569945216178894, 53.80585586656515)]",40.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_c2f9cf9f6b93aab78c117f0ece3f1d802968f5a1,"[(-1.574215292930603, 53.797517353014555), (-1.573818325996399, 53.79765676428631), (-1.5736198425292969, 53.797713796036625), (-1.5729010105133057, 53.79795459590516), (-1.5721714496612549, 53.79818588921387), (-1.5712004899978638, 53.79852490586802), (-1.5702563524246216, 53.79887342480506), (-1.569945216178894, 53.798995405748734)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_97109779fa071585c375bff7aea8876d5f0c96d8,"[(-1.5737217664718628, 53.79741596270766), (-1.5736466646194458, 53.79738427818649), (-1.5734803676605225, 53.79733358290282), (-1.5733301639556885, 53.79728288755786), (-1.5732228755950928, 53.79726704525), (-1.573115587234497, 53.79728288755786), (-1.572965383529663, 53.797320909072326), (-1.5725147724151611, 53.79751101612756), (-1.5719622373580933, 53.79773597502969), (-1.5704065561294556, 53.798350645313334), (-1.570347547531128, 53.79836965559085), (-1.569945216178894, 53.798477380334006)]",30.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_e30359f4bf5b3f34d29c0417c89cd50a475c937d,"[(-1.569945216178894, 53.798477380334006), (-1.570347547531128, 53.79836965559085), (-1.5704065561294556, 53.798350645313334), (-1.5719622373580933, 53.79773597502969), (-1.5725147724151611, 53.79751101612756), (-1.572965383529663, 53.797320909072326), (-1.573115587234497, 53.79728288755786), (-1.5732228755950928, 53.79726704525), (-1.5733301639556885, 53.79728288755786), (-1.5734803676605225, 53.79733358290282), (-1.5736466646194458, 53.79738427818649), (-1.5737217664718628, 53.79741596270766)]",35.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_7213f439a3a8621a4bf75dffe53b17a48cc97669,"[(-1.569945216178894, 53.79910154472274), (-1.5704923868179321, 53.798882929826405), (-1.5708732604980469, 53.79874669098126), (-1.5711522102355957, 53.7986421352883), (-1.5722787380218506, 53.79825876218384), (-1.5727990865707397, 53.798084500523245), (-1.5738826990127563, 53.79774231188271), (-1.5743976831436157, 53.79759973245843), (-1.5745854377746582, 53.79753953211152)]",50.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_2b332309613d1eb2d585f4e2a0c824f33d789a53,"[(-1.558958888053894, 53.80812871095913), (-1.5590286254882812, 53.80807327719604)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_2a3e34f4a3711623872adf73cf87c6433a7afca1,"[(-1.559007167816162, 53.808089115421545), (-1.558958888053894, 53.80805110367027)]",20.0,0.0,2026-03-05 09:00:00,0.9
