edge_id,segment_id,current_speed,freeflow_speed,timestamp,match_confidence
9669533#0,Traffic flow_9f34ff611551546eb63d7d2b70120259e3cf96c7,5.0,0.0,2026-03-05 09:00:00,1.0
1289304475,Traffic flow_f2f53dcdbe945878a9809de00111b6b1b46a5b7c,10.0,0.0,2026-03-05 09:00:00,1.0
9669533#0,Traffic flow_ae052cbc6fccff41a0e62e0c94b600705fef201c,10.0,0.0,2026-03-05 09:00:00,1.0
27623187#0,Traffic flow_4a3ea4f5a780c6c8742d4816841c4f10dd80534e,10.0,0.0,2026-03-05 09:00:00,0.9015964776433346
-927690104#1,Traffic flow_60697232df76a5b83a8c0a3d7fd52980b51a6078,10.0,0.0,2026-03-05 09:00:00,1.0
1289304475,Traffic flow_c6b0b6793189482dd432e8993b1c50d99d5cf6d0,15.0,0.0,2026-03-05 09:00:00,1.0
9669533#0,Traffic flow_3c4d3b7089a59c47d0ff0f2437dbedd1dc604ead,15.0,0.0,2026-03-05 09:00:00,1.0
9362225#0,Traffic flow_d5a39f22d7fcc588beb6adce889ce299b6c97acb,15.0,0.0,2026-03-05 09:00:00,1.0
-32885798,Traffic flow_34f6459bbcde5a021ed16244ae7e6c3e627cc31f,15.0,0.0,2026-03-05 09:00:00,1.0
265619196#0,Traffic flow_d944524a3ec94fc7eb91ed4d19b1247afbe2139b,15.0,0.0,2026-03-05 09:00:00,1.0
927690103#1,Traffic flow_8b51e9e694b71ca04df3b01dd8fc2a40f9e347a1,15.0,0.0,2026-03-05 09:00:00,0.7641196670634632
-927690102,Traffic flow_8c4ebadeb001ae5a457e0400459cad8466798950,20.0,0.0,2026-03-05 09:00:00,1.0
26717793,Traffic flow_94755b515e7d4016eeac05f83ba7a0e65d75ca0a,20.0,0.0,2026-03-05 09:00:00,1.0
273012999,Traffic flow_aba8867591db173e666b87071ac259f326d412e1,20.0,0.0,2026-03-05 09:00:00,1.0
70767580,Traffic flow_9eaae8769abf1165f7492340895fb1383c1b5934,25.0,0.0,2026-03-05 09:00:00,1.0
-462193967#1,Traffic flow_40b9b056f2e5c8d8fa0fbbbdf100dc207c33c927,25.0,0.0,2026-03-05 09:00:00,1.0
-927690102,Traffic flow_7e78048bc1d125c8195a53ebe8264e8e808d62d0,25.0,0.0,2026-03-05 09:00:00,1.0
9362225#0,Traffic flow_9298f9989b6c593c4b10f1052f5b069e4cc1bafe,25.0,0.0,2026-03-05 09:00:00,1.0
-631980410#1,Traffic flow_807998de5c351e25116a9b5032868b50464465ba,30.0,0.0,2026-03-05 09:00:00,1.0
26717793,Traffic flow_8998bc216cf938fd00444662a18ccc63c9faf062,30.0,0.0,2026-03-05 09:00:00,0.725671039486528
1289304475,Traffic flow_63d481be2812e8a03cb502dd3758d0ac9961ee03,30.0,0.0,2026-03-05 09:00:00,1.0
27623185#0,Traffic flow_c7db58b2abc9494e5b344b52adf253a14ca4d1f7,30.0,0.0,2026-03-05 09:00:00,1.0
-26717793,Traffic flow_754a0d178d5b1b1e1dd2d158cd2726d06a45f4a9,35.0,0.0,2026-03-05 09:00:00,0.8514123039010557
44498818#1,Traffic flow_0f445a0acc01e6a5a3e3f5e96e9446beaee11ff5,35.0,0.0,2026-03-05 09:00:00,1.0
277651179#0,Traffic flow_d97ab881bf7ae61fd1909ddbd21ba8803cd9ca3e,35.0,0.0,2026-03-05 09:00:00,1.0
26717793,Traffic flow_606514a92ff04d2c696091a6f7c07dc874659718,35.0,0.0,2026-03-05 09:00:00,1.0
-266089686#1,Traffic flow_553072c3a9316eb43de0737bb63e404f2550fa34,40.0,0.0,2026-03-05 09:00:00,1.0
8101374#2,Traffic flow_2ddb4718260aa7cca052e734aa74bc843deb7768,10.0,0.0,2026-03-05 09:00:00,1.0
-8765113,Traffic flow_fdadcc11372809d93119ebfd71fd5db5a5751778,10.0,0.0,2026-03-05 09:00:00,1.0
1289304475,Traffic flow_9f2b58896c17784119c82b8825d8ea22cb95d42d,10.0,0.0,2026-03-05 09:00:00,0.5328109558135381
-9362241#4,Traffic flow_f465b4c8f5f5f3a77ef663cf07f3f764818028ce,15.0,0.0,2026-03-05 09:00:00,1.0
-220059394,Traffic flow_bd0020584c34a2b2bba0c051cee7bae45d606913,15.0,0.0,2026-03-05 09:00:00,1.0
43134676,Traffic flow_95d3b2b9f91c22f65efb423208178909260315b1,15.0,0.0,2026-03-05 09:00:00,1.0
922700297#0,Traffic flow_8f97efe926ff1e772613e51eddc3998efdeb2285,15.0,0.0,2026-03-05 09:00:00,1.0
8609632#0,Traffic flow_1b2d995b397b017cc8399dcfb513b50aa049cb60,15.0,0.0,2026-03-05 09:00:00,1.0
-9362222#1,Traffic flow_b708179727e6b3eeaa9717682f198dfe26a93242,15.0,0.0,2026-03-05 09:00:00,1.0
293319610#0,Traffic flow_76f232d54e5bc76cf0e617cbd6b9d98997ce337b,15.0,0.0,2026-03-05 09:00:00,1.0
