segment_id,geometry,current_speed,freeflow_speed,timestamp,quality
Traffic flow_9f34ff611551546eb63d7d2b70120259e3cf96c7,"[(-1.6802161931991577, 48.11709097528912), (-1.6803503036499023, 48.11710888199507), (-1.680436134338379, 48.117130370033976), (-1.6805219650268555, 48.11716618341219)]",5.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_f2f53dcdbe945878a9809de00111b6b1b46a5b7c,"[(-1.6808170080184937, 48.116790141695915), (-1.6808974742889404, 48.11677939760643), (-1.6809618473052979, 48.116761490785635), (-1.6811281442642212, 48.11668270070002), (-1.6811978816986084, 48.11663972423875), (-1.6812783479690552, 48.11658600361162), (-1.6818952560424805, 48.11621353905203), (-1.6820615530014038, 48.11612758530868), (-1.6821634769439697, 48.116070282733226), (-1.6823405027389526, 48.11595925881142), (-1.6824692487716675, 48.11587688606923), (-1.6825282573699951, 48.11583749036325), (-1.6825872659683228, 48.11581242035281), (-1.6826355457305908, 48.115805257490436), (-1.682678461074829, 48.115805257490436), (-1.6827267408370972, 48.11582316464449), (-1.6827696561813354, 48.1158482346497), (-1.6828233003616333, 48.11588404892163), (-1.6828876733779907, 48.115944933126606), (-1.6829359531402588, 48.115998654424025), (-1.682978868484497, 48.11609535261785), (-1.6830378770828247, 48.11618130641513), (-1.6831880807876587, 48.116335306608974), (-1.6831934452056885, 48.116335306608974)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_ae052cbc6fccff41a0e62e0c94b600705fef201c,"[(-1.6807955503463745, 48.1169262333015), (-1.6807043552398682, 48.11698353492232), (-1.6806238889694214, 48.11705158051405), (-1.6805219650268555, 48.11716618341219)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_4a3ea4f5a780c6c8742d4816841c4f10dd80534e,"[(-1.6897916793823242, 48.116453492491196), (-1.6897755861282349, 48.116453492491196), (-1.6897380352020264, 48.116435585556815), (-1.6897112131118774, 48.116399771669336), (-1.6897004842758179, 48.11637112054139), (-1.6897058486938477, 48.11632098102901), (-1.6897273063659668, 48.116285167061655), (-1.6897380352020264, 48.116274422866574), (-1.6897594928741455, 48.116260097269645), (-1.6898024082183838, 48.11624935306933), (-1.6898345947265625, 48.11624935306933), (-1.689872145652771, 48.116263678669256), (-1.68989896774292, 48.116285167061655), (-1.6899257898330688, 48.116338888003334), (-1.6899257898330688, 48.11637470193325), (-1.6899043321609497, 48.11641409722733), (-1.6898775100708008, 48.116442748331316), (-1.689823865890503, 48.11645707387733), (-1.6897916793823242, 48.116453492491196)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_60697232df76a5b83a8c0a3d7fd52980b51a6078,"[(-1.6917282342910767, 48.11716976474864), (-1.6913527250289917, 48.117141114050064), (-1.6906338930130005, 48.11712678869478), (-1.690295934677124, 48.11712678869478), (-1.6902530193328857, 48.1170945566308), (-1.6901886463165283, 48.11703009244218), (-1.690049171447754, 48.116876094330856), (-1.6898936033248901, 48.11667911932962), (-1.6897916793823242, 48.116453492491196)]",10.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_c6b0b6793189482dd432e8993b1c50d99d5cf6d0,"[(-1.6806989908218384, 48.11685818754376), (-1.6809672117233276, 48.116704188917176), (-1.6812032461166382, 48.116557352587506), (-1.6813427209854126, 48.11647498080421), (-1.681707501411438, 48.11624219026786), (-1.681830883026123, 48.11617056219833), (-1.682104468345642, 48.11599507300595), (-1.6821902990341187, 48.115944933126606), (-1.6822439432144165, 48.11590911889712), (-1.6823351383209229, 48.11585539750608), (-1.6824531555175781, 48.11577660603095), (-1.6825658082962036, 48.11569423299594)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_3c4d3b7089a59c47d0ff0f2437dbedd1dc604ead,"[(-1.6808652877807617, 48.11970886945687), (-1.680859923362732, 48.1194832559238), (-1.6808438301086426, 48.11927196616103), (-1.680833101272583, 48.119200342315416), (-1.6807258129119873, 48.118835059149546), (-1.680607795715332, 48.11850916707406), (-1.6804307699203491, 48.1180686723019), (-1.6803771257400513, 48.11789677087849), (-1.6803449392318726, 48.11776784443346), (-1.6803503036499023, 48.117739194068406), (-1.6803556680679321, 48.117542222376166), (-1.68040931224823, 48.11733450595538), (-1.6804629564285278, 48.11723422876201), (-1.6806238889694214, 48.11705158051405), (-1.6807043552398682, 48.11698353492232), (-1.6807955503463745, 48.1169262333015)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_d5a39f22d7fcc588beb6adce889ce299b6c97acb,"[(-1.6864120960235596, 48.11533608783017), (-1.6863209009170532, 48.115228643793635), (-1.686224341392517, 48.11512478101141), (-1.6861867904663086, 48.115078221765025), (-1.6858381032943726, 48.11469500174972), (-1.6853177547454834, 48.11407181543488), (-1.6852855682373047, 48.11403241834488)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_34f6459bbcde5a021ed16244ae7e6c3e627cc31f,"[(-1.6855376958847046, 48.11899263259846), (-1.68590247631073, 48.11890668350443), (-1.6861331462860107, 48.1188672901216)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_d944524a3ec94fc7eb91ed4d19b1247afbe2139b,"[(-1.6862189769744873, 48.118849384028515), (-1.6862565279006958, 48.118813571823615), (-1.6866856813430786, 48.118691810140234), (-1.6876888275146484, 48.118441123412815), (-1.6878604888916016, 48.118390985920534), (-1.6879570484161377, 48.11837666091376), (-1.6887134313583374, 48.118204760520854), (-1.6888529062271118, 48.118229829363976), (-1.6887456178665161, 48.11830145456264), (-1.6878926753997803, 48.118473354632), (-1.6877156496047974, 48.11851991080181), (-1.6872060298919678, 48.118630929190324), (-1.6868412494659424, 48.11872045997405), (-1.6867929697036743, 48.11872404120215), (-1.6866910457611084, 48.11874552856553), (-1.6863691806793213, 48.118831477929184), (-1.6862726211547852, 48.118852965247626), (-1.6862189769744873, 48.118849384028515)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_8b51e9e694b71ca04df3b01dd8fc2a40f9e347a1,"[(-1.6889280080795288, 48.11821192304871), (-1.6888529062271118, 48.118229829363976)]",15.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_8c4ebadeb001ae5a457e0400459cad8466798950,"[(-1.6899687051773071, 48.11935075227587), (-1.6898667812347412, 48.119314940420466), (-1.6890835762023926, 48.118466192140595), (-1.6889870166778564, 48.118365917156055), (-1.688970923423767, 48.11825131693406)]",20.0,0.0,2026-03-05 09:00:00,0.9
Traffic flow_94755b515e7d4016eeac05f83ba7a0e65d75ca0a,"[(-1.6825658082962036, 48.11569423299594), (-1.6824907064437866, 48.115644092823025), (-1.6822707653045654, 48.115482927650085), (-1.6821849346160889, 48.115432787270954), (-1.682104468345642, 48.11538980976419), (-1.6820937395095825, 48.11542204289763), (-1.6820669174194336, 48.115447113098554), (-1.6820132732391357, 48.115465020377435), (-1.681954264640808, 48.115465020377435), (-1.6819113492965698, 48.11545427601086), (-1.681884527206421, 48.11544353164203), (-1.6818684339523315, 48.11542204289763), (-1.681857705116272, 48.11537906538187), (-1.6818630695343018, 48.11535399514776), (-1.6819006204605103, 48.11531818050635), (-1.6819274425506592, 48.115303854642804), (-1.6819649934768677, 48.11530027317629), (-1.6820025444030762, 48.11530027317629), (-1.6820454597473145, 48.115311017575074), (-1.6820883750915527, 48.11533608783017), (-1.682104468345642, 48.115361158073036), (-1.682104468345642, 48.11538980976419)]",20.0,0.0,2026-03-05 09:00:00,0.9
